year,finish,horse,jockey,trainer,owner,sire,dam,dam_sire,odds,field_size,notes
2011,3,Mucho Macho Man,Ramon Dominguez,Todd Pletcher,Reeves Thoroughbred Racing,Leroidesanimaux,Ponche de Leon,Farnesio,22.3,19,
2011,4,Shackleford,Jesus Castanon,Todd Pletcher,Little Red Feather Racing,Forestry,Oatsee,Wild Rush,12.1,19,
2011,5,Sutherland,Kent Desormeaux,David Carroll,Sutherland Farms,Awesome Again,Charming Lassie,Cox's Ridge,45.6,19,
2012,1,I'll Have Another,Mario Gutierrez,Doug O'Neill,Reddam Racing,Flower Alley,Arch's Gal Edith,Arch,15.4,20,Near Triple Crown; scratched from Belmont
2012,2,Bodemeister,Mike Smith,Bob Baffert,Zayat Stables,Empire Maker,Untouched Talent,A.P. Indy,4.5,20,
2012,3,Dullahan,Kent Desormeaux,Brad Cox,Ken Ramsey & Sarah Ramsey,Even the Score,Dixie Pearl,Dixieland Band,13.7,20,
2012,4,Gemologist,Javier Castellano,Todd Pletcher,Zayat Stables,Tiznow,Indyanne,A.P. Indy,3.1,20,
2012,5,Optimizer,Gary Stevens,Mark Casse,J Stables & Peachtree Stable,Hard Spun,Strategic Partner,Strategic Mission,24.6,20,
2013,1,Orb,Joel Rosario,Shug McGaughey,Stuart Janney III & Phipps Stable,Malibu Moon,Lady Liberty,Unbridled,3.3,19,
2013,2,Golden Soul,Robby Albarado,Todd Pletcher,Stonestreet Stable,Tapit,Golden Seal,Seeking the Gold,29.7,19,
2013,3,Revolutionary,John Velazquez,Todd Pletcher,Repole Stable & Vinnie Viola,War Front,Happy Trails,Rahy,8.5,19,
2013,4,Java's War,Shaun Bridgmohan,Tom Drury Jr.,Tom & Linda McCrocklin,Square Eddie,Javanica,Java Gold,47.0,19,
2013,5,Normandy Invasion,Javier Castellano,Todd Pletcher,Repole Stable,Afleet Alex,Normandy,Gone West,12.8,19,
2014,1,California Chrome,Victor Espinoza,Art Sherman,Steve Coburn & Perry Martin,Lucky Pulpit,Love the Chase,Not For Love,5.4,19,Near Triple Crown; Horse of the Year
2014,2,Commanding Curve,Luke Morris,Dallas Stewart,Joshua Herman & Marilyn Katz,Pioneer of the Nile,She's Got Moxie,Bernstein,37.1,19,
2014,3,Danza,Tony Farina,Todd Pletcher,Gary Barber,Medaglia d'Oro,Strikingly,A.P. Indy,17.8,19,
2014,4,Social Inclusion,Rosie Napravnik,Graham Motion,Dogwood Stable,Pioneerof the Nile,Family Meeting,Belong to Me,6.5,19,
2014,5,Wicked Strong,Rajiv Maragh,Jimmy Jerkens,Two Hearts Farm,Hard Spun,G. G. Dancer,Northern Dancer,10.8,19,
2015,1,American Pharoah,Victor Espinoza,Bob Baffert,Ahmed Zayat,Pioneer of the Nile,Littleprincessemma,Yankee Gentleman,3.1,18,Triple Crown winner; first since 1978
2015,2,Firing Line,Gary Stevens,Simon Callaghan,WinStar Farm & Don Adam,Line of David,One Fast Cat,Speightstown,5.8,18,
2015,3,Dortmund,Martin Garcia,Bob Baffert,Kaleem Shah,Big Brown,Spun Silver,Malibu Moon,3.3,18,
2015,4,Frosted,Joel Rosario,Kiaran McLaughlin,Godolphin,Tapit,Form,Arch,9.3,18,
2015,5,Materiality,John Velazquez,Todd Pletcher,Besilu Stables,Afleet Alex,Better Feeling,Saint Ballado,4.2,18,
2016,1,Nyquist,Mario Gutierrez,Doug O'Neill,Reddam Racing,Uncle Mo,Seeking Gabrielle,Forestry,2.4,20,Unbeaten going into Derby
2016,2,Exaggerator,Kent Desormeaux,Keith Desormeaux,Exaggerator Group,Curlin,Exaggerate,Distorted Humor,5.9,20,
2016,3,Gun Runner,Florent Geroux,Steve Asmussen,Three Chimneys & Ray Daniels,Candy Ride,Quiet Giant,Giant's Causeway,5.8,20,Horse of the Year 2017
2016,4,Mohaymen,Junior Alvarado,Kiaran McLaughlin,Shadwell Stable,Tapit,Tiz a Slam,Tiznow,4.1,20,
2016,5,Suddenbreakingnews,Joe Bravo,Todd Pletcher,Lori & Lawrence Goichman,Jump Start,Somber Surprise,Stormy Atlantic,48.9,20,
2017,1,Always Dreaming,John Velazquez,Todd Pletcher,MeB Racing & others,Bodemeister,Above Perfection,In Excess,9.0,20,
2017,2,Lookin at Lee,Corey Lanerie,Steve Asmussen,Royce Chizmadia & Anthony Quartarolo,Lookin at Lucky,True Vision,Elusive Quality,40.8,20,
2017,3,Battle of Midway,Flavien Prat,Jerry Hollendorfer,MyRaceHorse Stable,First Dude,Lucky Mimi,Mineshaft,35.7,20,
2017,4,Classic Empire,Julien Leparoux,Mark Casse,Head of Plains Partners,Pioneerof the Nile,Classic Colleen,Monarchos,4.8,20,Favored going into race
2017,5,McCraken,Brian Hernandez Jr.,Ian Wilkes,Whitham Thoroughbreds & others,Ghostzapper,Ivory Empress,Corinthian,8.2,20,
2018,1,Justify,Mike Smith,Bob Baffert,WinStar Farm & China Horse Club & Starlight Racing & Head of Plains,Scat Daddy,Stage Magic,Ghostzapper,2.8,20,Triple Crown winner; never raced as 2yo
2018,2,Good Magic,Jose Ortiz,Chad Brown,e Five Racing Thoroughbreds,Curlin,Qualifying,A.P. Indy,4.5,20,
2018,3,Audible,Javier Castellano,Todd Pletcher,WinStar Farm & China Horse Club & SF Racing,Into Mischief,Blue Tone,Aldebaran,9.6,20,
2018,4,Mendelssohn,Ryan Moore,Aidan O'Brien,Michael Tabor et al.,Scat Daddy,Cinnamon Sugar,Galileo,5.1,20,International runner; faded on sloppy track
2018,5,My Boy Jack,Drayden Van Dyke,Keith Desormeaux,Sharon Alesia & Ken Ramsey,Hard Spun,Tap Tap Tap,Tapit,22.7,20,
2019,1,Country House,Flavien Prat,Bill Mott,Mrs. J.V. Shields Jr.,Lookin at Lucky,Quimby,Unbridled's Song,65.5,19,Won via DQ of Maximum Security
2019,2,Code of Honor,John Velazquez,Shug McGaughey,William Lawrence,Noble Mission,Life Well Lived,Malibu Moon,9.8,19,
2019,3,Tacitus,Jose Ortiz,Bill Mott,William Lawrence,Tapit,Close Hatches,First Defence,10.1,19,
2019,4,Maximum Security,Luis Saez,Jason Servis,Gary & Mary West,New Year's Day,Lil Indy,Indy King,3.7,19,Crossed first; DQ'd for interference
2019,5,War of Will,Tyler Gaffalione,Mark Casse,Gary Barber,War Front,Unfurl the Flag,Arch,14.1,19,Was bumped by Maximum Security
2020,1,Authentic,John Velazquez,Bob Baffert,Spendthrift Farm & MyRaceHorse & Starlight & XBTV,Into Mischief,Flawless,Quiet American,8.0,16,Run in Sept due to COVID; no fans
2020,2,Tiz the Law,Manny Franco,Barclay Tagg,Sackatoga Stable,Constitution,Tizfiz,Tiznow,3.0,16,Heavy favorite; New York-bred
2020,3,NY Traffic,Paco Lopez,Saffie Joseph Jr.,Yadira Perez & Ferzon Elliot,Istan,Tizahit,Tiznow,25.5,16,
2020,4,Mr. Big News,Channing Hill,Bret Calhoun,JEH Stable & Larry Best,Shackleford,Miss Behave,Theatrical,55.0,16,
2020,5,Enforceable,Joel Rosario,Todd Pletcher,Repole Stable,Tapit,Lady Foghorn,Unbridled's Song,23.4,16,
2021,1,Mandaloun,Florent Geroux,Brad Cox,Juddmonte Farms,Into Mischief,Brooch,Kitten's Joy,26.0,19,Declared winner after Medina Spirit DQ in Jan 2022
2021,2,Hot Rod Charlie,Flavien Prat,Doug O'Neill,Boat Racing et al.,Oxbow,She's a Tiger,Tigerish,9.6,19,
2021,3,Essential Quality,Luis Saez,Brad Cox,Godolphin,Tapit,Welcome Quality,Quality Road,2.0,19,Was the favorite
2021,4,O Besos,Steven Ortiz,Gregory Foley,William Strauss & Richard Barton,Sum of the Parts,Maria's Devotion,Maria's Mon,23.4,19,
2021,5,Keepmeinmind,David Cohen,Robertino Diodoro,Eclipse Thoroughbred Partners et al.,Laoban,Wild Chant,Wild Gale,57.4,19,
2022,1,Rich Strike,Sonny Leon,Eric Reed,Rick Dawson,Keen Ice,Gold Strike,Malibu Moon,80.8,20,80-1 longshot; last-minute entry
2022,2,Epicenter,Joel Rosario,Steve Asmussen,Winchell Thoroughbreds,Not This Time,Silent Candy,Candy Ride,4.3,20,Beaten favorite
2022,3,Zandon,Flavien Prat,Chad Brown,Westerberg,Upstart,Keep Quiet,More Than Ready,4.4,20,
2022,4,Ethereal Road,Luis Saez,Todd Pletcher,WinStar Farm & China Horse Club,Pioneerof the Nile,Better Lucky,Lucky Pulpit,18.3,20,
2022,5,Crown Pride,Christophe Lemaire,Koichi Shintani,Teruya Yoshida,Camelot,Graceful Touch,Menifee,12.7,20,Japanese-trained runner
2023,1,Mage,Javier Castellano,Gustavo Delgado,Gustavo Delgado Sr. et al.,Good Magic,Puca,Kitten's Joy,15.2,18,Venezuelan trainer first Derby win
2023,2,Two Phil's,Jareth Loveberry,Larry Rivelli,Phil Tetrault & Phil Slevin,Hard Spun,Adirondack Breeze,Tiznow,21.0,18,
2023,3,Angel of Empire,Florent Geroux,Brad Cox,Albaugh Family Stable,Cairo Prince,Wild Whisper,Ghostzapper,11.4,18,
2023,4,Practical Move,Ramon Vazquez,Tim Yakteen,Sayjay Racing,Complexity,Enchanting,More Than Ready,13.5,18,
2023,5,Reincarnate,Mike Smith,Bob Baffert,Amr Zedan,Medaglia d'Oro,Starship Jubilee,Tiznow,17.7,18,
2024,1,Mystik Dan,Brian Hernandez Jr.,Kenneth McPeek,Brunetti Dugan Stables et al.,Goldencents,Brook's Reward,Repent,18.2,20,Won by a nose in photo finish
2024,2,Sierra Leone,Tyler Gaffalione,Chad Brown,Stonestreet Stable & St. Elias Stable,gun Runner,Island of Love,Kitten's Joy,6.3,20,
2024,3,Forever Young,Ryusei Sakai,Yoshito Yahagi,Susumu Fujita,Kizuna,Real Fantasy,Real Impact,13.5,20,Japanese runner; nearly pulled off a shock
2024,4,Catching Freedom,Flavien Prat,Brad Cox,Spendthrift Farm & Madaket Stables,Curlin,Catch the Tears,Kitten's Joy,15.4,20,
2024,5,Just a Touch,Irad Ortiz Jr.,Todd Pletcher,Gainesway Stable,Justify,Just a Kiss,Afleet Alex,15.7,20,
2025,1,Sovereignty,Junior Alvarado,William Mott,Godolphin LLC,Curlin,Starship Jubilee,Tiznow,8.1,19,
2025,2,Journalism,Umberto Rispoli,John Sadler,Hronis Racing,Medaglia d'Oro,Press Coverage,More Than Ready,4.5,19,Favored; second by 1.5 lengths
2025,3,Sandman,Brian Hernandez Jr.,Kenny McPeek,Stonestreet Stable,Gun Runner,City Girl,Ghostzapper,18.3,19,
2025,4,American Promise,Irad Ortiz Jr.,Todd Pletcher,WinStar Farm,Into Mischief,Oath,Harlan's Holiday,12.7,19,
2025,5,Citizen Bull,Mike Smith,Bob Baffert,Zedan Racing Stables,Into Mischief,Wild Gal,Speightstown,9.4,19,
